query_search_term,correct_result_URL
Patient Online data,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
Electronic Prescription Service data,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
Electronic Prescription Service data,https://digital.nhs.uk/services/electronic-prescription-service/statistics
NHS 111 data,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
Reported Covid symptoms data,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
GP Appointments data,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
Number of patients registered at GP practice data,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
CCG e-Referral data,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
e-Referral data,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
Digital Maturity Assessment,https://data.england.nhs.uk/dataset/digital-maturity-2017
Digital Maturity Assessment,https://data.england.nhs.uk/organization/nhs-england-technology-strategy
Digital Maturity Assessment,https://data.england.nhs.uk/dataset/digital-maturity-assessment-2015-2016
online gp appointment,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
POMI NHS Digital,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
pomi nhs,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
patient online nhs,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
"Patient appointment, prescription and records system",https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
online patient services programme,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
"GP online, patient online",https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
GP online,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-collections/pomi
gp prescription sent to pharmacy,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
GP prescriptions data,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
prescriptions nhs,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
e prescription service nhs,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
Sending prescriptions to pharmacies electronically,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
electronic prescription service data,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
"e prescription, e prescribe, pharmacy electronic",https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
electronic prescription,https://digital.nhs.uk/data-and-information/data-tools-and-services/tools-for-accessing-data/deployment-and-utilisation-hub/electronic-prescription-service-deployment-and-utilisation-data
electronic gp prescription orders by pharmacy,https://digital.nhs.uk/services/electronic-prescription-service/statistics
dispensing nominations NHS Digital,https://digital.nhs.uk/services/electronic-prescription-service/statistics
pharmacy nomination nhs,https://digital.nhs.uk/services/electronic-prescription-service/statistics
e prescription service nominations list,https://digital.nhs.uk/services/electronic-prescription-service/statistics
Number of prescriptions sent to pharmacies,https://digital.nhs.uk/services/electronic-prescription-service/statistics
nominations for pharmacists,https://digital.nhs.uk/services/electronic-prescription-service/statistics
"dispenser stats, dispenser nomination",https://digital.nhs.uk/services/electronic-prescription-service/statistics
pharmacy stats,https://digital.nhs.uk/services/electronic-prescription-service/statistics
non urgent care services,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
NHS England statistics 111,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
nhs 111 data,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
integrated urgent care NHS 111,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
Urgent care service data,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
out of hours care data,https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
"111 data, urgent care data set",https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
"111 data
",https://www.england.nhs.uk/statistics/statistical-work-areas/nhs-111-minimum-data-set/
calls from people with covid symptoms,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
Covid symptoms NHS Digitial,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
coronavirus nhs 111,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
covid NHS reports via pathways and 111,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
Data on reporting of Coronavirus symptoms to the NHS,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
reported covid symptoms,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
"covid dataset, pathway dashboard, covid dashboard, covid pathway stats",https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
cv19 urgent care assessments,https://digital.nhs.uk/data-and-information/publications/statistical/mi-potential-covid-19-symptoms-reported-through-nhs-pathways-and-111-online/latest
gp appointment data,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
GP appointments,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
gp appointments,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
NHS number of GP appointments stats,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
GP appointment use data,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
GP appointment stats,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
"gp appointments dashboard, gp appointment stats",https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
GP appointment data,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/
gp patient total,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
GP registration,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
gp practice registrations,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
gp registered patients list,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
Number of GP patients,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
GP patient registration stats,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
"gp number of patients, gp dashboard data",https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
Number patients registered with GP,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice
first referral data,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
ERS bookings NHS digital,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
nhs ers refferal data,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
nhs e referral booking report,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
NHS appointments booked after electronic referral,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
NHS referral stats,https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
"ers bookings, referral data",https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
"e referral service reports
",https://digital.nhs.uk/services/e-referral-service/reports-and-statistics/weekly-booking-reports
digital capability data,https://data.england.nhs.uk/dataset/digital-maturity-2017
digital maturity index,https://data.england.nhs.uk/dataset/digital-maturity-2017
nhs digital maturity,https://data.england.nhs.uk/dataset/digital-maturity-2017
digital maturity assessment 2017 nhse,https://data.england.nhs.uk/dataset/digital-maturity-2017
Assessment of NHS use (or application) of digital technology,https://data.england.nhs.uk/dataset/digital-maturity-2017
NHS digital maturity assessment,https://data.england.nhs.uk/dataset/digital-maturity-2017
"digital maturity assessment, digital maturity nhs",https://data.england.nhs.uk/dataset/digital-maturity-2017
digital maturity 2017 healthcare,https://data.england.nhs.uk/dataset/digital-maturity-2017
respiratory mortality PHE,https://data.england.nhs.uk/dataset/phe-indicator-40701
respiratory mortality,https://data.england.nhs.uk/dataset/phe-indicator-40701
respiratory death under 75 nhse,https://data.england.nhs.uk/dataset/phe-indicator-40701
rate of death from chest complaints in the UK population,https://data.england.nhs.uk/dataset/phe-indicator-40701
no of deaths under 75 respiratory conditions,https://data.england.nhs.uk/dataset/phe-indicator-40701
respiratory mortality,https://data.england.nhs.uk/dataset/phe-indicator-40701
